Adidas,Shoes,20% off on Runner Shoes,10 % off on Men’s Glow in Dark
Macy’s, Clothing, 15% off on Men’s Jeans, 5% off on Party Wear
Apple Store, Electronics, Free accessories with iPhone 6S Purchase,Black Friday sale! 20% off on ipad
Samsung, Electronics, Galaxy S7 Edge Gold with 10% off on actual price,Get 10% off on Samsung Galaxy  Tab
Ray Ban, Glasses, 10% off on Aviator, 20% off on Round Crystal Flat Lenses
Gap, Clothing, 10% off on sweat shirts,40% off on Men’s Casual Shirts
GUCCI, Clothing, 10% off on Leather Bags, 20% off Women’s shoulder bag
Forever 21,Clothing, Upto 70% off Spring break deals, 20% off on Casual pants for women
Prada, Clothing, Up To 90% Off Top Designers,Free Prada Iris Pouch With Select Prada Fragrances
American Apparel, Clothing, 20% off for you and your friend, Upto 30% for T-Shirts
AT & T, Mobile Network, Up To $650, Two-For-One Phone Deal, Two-Year Price Lock on Bundles
Nike, Shoes, 31% Off Nike Free Shoes, Up To 40% Off Women's Running Shoes & Apparel
AMC, Entertainment, Free Refill on Large Soda and Popcorn, AMC KidsPack
BOSE, Electronics, 10% off on Bose Wave Music System IV, 30% off on headsets
Banana Republic, Clothing, Save up to 50% off Sale Items, Save 15% Off With Student or Teacher's ID
Chipotle, Dining, Free chips & guacamole when you play Guac Hunter & opt-in to text alerts from Chipotle, 9% to 17% off Chipotle gift cards
Elite Auto Spa, Automobile, Join our loyalty program and get free car wash, Coupon for Oil Change + FREE Carwash only $27.95
The Coffee Bean and Tea Leaf, Dining, 50% Off Coffee For Two Kit, 10% Off With Email Sign Up
Fat Burger, Dining, Fatburger Gift Cards starting at $25, Check Out Thousand Island Fatburger and Chocolate Dipped Strawberry Milkshake Today!
H&M, Clothing, 25% Off $75+, Select Ladies Sale Item From $1.99
